City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,ketchikan,55.3422,-131.6461,42.78,93,100,6.91,US,2023-02-01 01:21:41
70,williams lake,52.1415,-122.1445,23.05,93,100,9.22,CA,2023-02-01 01:21:41
71,karratha,-20.7377,116.8463,91.31,49,15,8.93,AU,2023-02-01 01:21:42
72,meadow lake,34.8014,-106.5436,44.11,36,27,5.3,US,2023-02-01 01:21:42
73,kruisfontein,-34.0033,24.7314,64.89,90,0,2.73,ZA,2023-02-01 01:21:42
74,saskylakh,71.9167,114.0833,-23.21,97,100,11.99,RU,2023-02-01 01:21:43
75,bonthe,7.5264,-12.505,76.44,86,0,2.33,SL,2023-02-01 01:21:43
76,barrow,71.2906,-156.7887,-5.78,77,0,29.93,US,2023-02-01 01:19:53
77,cururupu,-1.8283,-44.8683,74.88,95,100,3.4,BR,2023-02-01 01:21:44
78,roosendaal,51.5308,4.4653,44.49,88,100,11.5,NL,2023-02-01 01:21:44
79,beloha,-25.1667,45.05,69.17,79,30,12.64,MG,2023-02-01 01:21:45
80,ghatampur,26.1667,80.1667,49.73,91,0,7.9,IN,2023-02-01 01:21:45
81,pisco,-13.7,-76.2167,73.45,78,0,14.97,PE,2023-02-01 01:17:49
82,aklavik,68.2191,-135.0107,-32.13,100,72,3.74,CA,2023-02-01 01:21:46
83,hun,29.1268,15.9477,48.09,72,7,8.75,LY,2023-02-01 01:21:46
84,guerrero negro,27.9769,-114.0611,58.35,52,9,7.92,MX,2023-02-01 01:21:46
85,georgetown,5.4112,100.3354,80.53,88,20,3.44,MY,2023-02-01 01:21:47
86,alfred,42.2542,-77.7906,18.73,74,100,1.41,US,2023-02-01 01:21:47
87,turan,16.0678,108.2208,69.78,83,20,1.14,VN,2023-02-01 01:19:51
88,atherton,53.5237,-2.4935,46.74,82,94,8.01,GB,2023-02-01 01:21:48
89,taoudenni,22.6783,-3.9836,57.6,20,100,12.62,ML,2023-02-01 01:21:48
90,castro,-24.7911,-50.0119,63.48,98,100,2.26,BR,2023-02-01 01:21:48
91,bo rai,12.5728,102.5371,75.76,58,100,1.28,TH,2023-02-01 01:21:49
92,coquimbo,-29.9533,-71.3436,64.13,88,0,6.91,CL,2023-02-01 01:20:49
93,srednekolymsk,67.45,153.6833,-20.2,94,100,4.83,RU,2023-02-01 01:21:49
94,arraial do cabo,-22.9661,-42.0278,76.14,86,56,26.13,BR,2023-02-01 01:17:47
95,atbasar,51.8,68.3333,-7.06,95,100,3.06,KZ,2023-02-01 01:21:50
96,laguna,38.421,-121.4238,53.89,41,0,3.44,US,2023-02-01 01:21:50
97,kaduna,10.5222,7.4383,71.08,19,100,6.87,NG,2023-02-01 01:21:50
98,meulaboh,4.1363,96.1285,75.04,82,100,4.16,ID,2023-02-01 01:21:51
99,zhigansk,66.7697,123.3711,-20.96,99,100,2.08,RU,2023-02-01 01:21:51
100,nebbi,2.4783,31.0889,73.96,48,20,6.51,UG,2023-02-01 01:21:51
101,sao filipe,14.8961,-24.4956,70.92,72,100,10.4,CV,2023-02-01 01:21:52
102,erzin,36.9559,36.2,44.15,83,100,3.4,TR,2023-02-01 01:21:52
103,persianovskiy,47.5137,40.1075,38.55,100,75,6.71,RU,2023-02-01 01:21:52
104,grand gaube,-20.0064,57.6608,77.4,83,100,1.01,MU,2023-02-01 01:21:53
105,smithers,54.7804,-127.1743,23.32,93,100,2.3,CA,2023-02-01 01:21:53
106,camacupa,-12.0167,17.4833,59.14,95,100,2.46,AO,2023-02-01 01:21:53
