City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
394,wanning,18.8003,110.3967,69.93,85,14,1.34,CN,2023-02-01 00:50:53
395,yulara,-25.2406,130.9889,85.15,23,1,13.44,AU,2023-02-01 00:50:54
396,myanaung,18.2833,95.3167,70.79,71,12,1.99,MM,2023-02-01 00:50:54
397,paragominas,-2.9667,-47.4833,72.12,99,100,5.12,BR,2023-02-01 00:50:54
398,bara,10.3744,10.7288,73.54,19,93,7.78,NG,2023-02-01 00:50:55
399,dingle,10.9995,122.6711,79.7,84,59,12.48,PH,2023-02-01 00:50:55
400,doha,25.2867,51.5333,67.89,68,0,11.5,QA,2023-02-01 00:50:56
401,arraias,-12.9288,-46.9437,70.5,65,17,1.66,BR,2023-02-01 00:50:56
402,mabini,15.6,120.9833,77.9,64,100,4.03,PH,2023-02-01 00:50:56
403,aswan,24.0934,32.907,52.9,25,0,4.61,EG,2023-02-01 00:50:57
404,manresa,41.725,1.8266,46.24,65,0,4.72,ES,2023-02-01 00:50:57
405,merauke,-8.4667,140.3333,83.93,76,100,8.25,ID,2023-02-01 00:50:58
406,hohhot,40.8106,111.6522,-0.11,65,0,4.47,CN,2023-02-01 00:50:58
407,tupa,-21.9347,-50.5136,70.61,91,100,3.36,BR,2023-02-01 00:50:59
408,key largo,25.0865,-80.4473,75.99,78,0,9.82,US,2023-02-01 00:50:59
409,tadine,-21.55,167.8833,83.25,68,97,5.12,NC,2023-02-01 00:50:59
410,gigmoto,13.7796,124.39,79.27,86,41,11.72,PH,2023-02-01 00:51:00
411,mandali,33.7499,45.5541,51.04,71,57,5.3,IQ,2023-02-01 00:51:00
412,bud,39.447,-86.1758,24.22,69,100,8.23,US,2023-02-01 00:51:01
413,san carlos de bariloche,-41.1456,-71.3082,69.55,28,20,6.91,AR,2023-02-01 00:51:01
414,svetlyy,54.675,20.1347,37.45,86,100,25.05,RU,2023-02-01 00:51:01
415,agnibilekrou,7.1344,-3.2047,69.76,46,70,2.46,CI,2023-02-01 00:51:02
416,ozuluama,21.6667,-97.85,68.41,94,35,12.35,MX,2023-02-01 00:51:02
417,stykkisholmur,65.0757,-22.7297,27.84,85,100,13.49,IS,2023-02-01 00:51:03
418,seara,41.1818,-7.8003,41.0,62,6,4.25,PT,2023-02-01 00:51:03
419,coromandel,-18.4733,-47.2003,65.55,89,43,3.51,BR,2023-02-01 00:51:04
420,baykit,61.67,96.37,-9.65,100,100,1.23,RU,2023-02-01 00:51:04
421,novobirilyussy,56.9514,90.6661,1.29,99,100,3.62,RU,2023-02-01 00:51:05
422,porto novo,6.4965,2.6036,77.07,88,99,5.06,BJ,2023-02-01 00:51:05
423,show low,34.2542,-110.0298,35.08,72,100,10.36,US,2023-02-01 00:51:06
424,broome,42.2506,-75.833,22.01,78,0,4.61,US,2023-02-01 00:51:06
425,thunder bay,48.4001,-89.3168,3.18,60,75,5.75,CA,2023-02-01 00:50:29
426,jalu,29.0331,21.5482,51.98,59,5,14.67,LY,2023-02-01 00:51:07
427,sao miguel do guama,-1.6267,-47.4833,73.49,98,100,5.86,BR,2023-02-01 00:51:05
428,saint-georges,12.0564,-61.7485,73.08,83,20,0.0,GD,2023-02-01 00:49:22
429,ozinki,51.1786,49.6769,16.66,88,67,8.25,RU,2023-02-01 00:51:08
430,sao joao da barra,-21.6403,-41.0511,78.89,85,38,20.71,BR,2023-02-01 00:51:08
431,teguise,29.0605,-13.564,57.42,51,20,10.36,ES,2023-02-01 00:51:09
432,balotra,25.8333,72.2333,56.57,45,0,8.72,IN,2023-02-01 00:51:09
433,oranjestad,12.524,-70.027,78.75,73,20,11.5,AW,2023-02-01 00:51:09
434,contramaestre,20.2978,-76.2414,71.96,78,5,5.48,CU,2023-02-01 00:51:10
435,mecca,21.4267,39.8261,71.15,84,25,3.8,SA,2023-02-01 00:51:10
436,olafsvik,64.8945,-23.7142,30.61,82,100,21.92,IS,2023-02-01 00:51:11
437,bayonet point,28.3267,-82.6834,73.4,90,75,6.6,US,2023-02-01 00:51:11
438,banjar,-8.19,114.9675,82.36,80,85,1.54,ID,2023-02-01 00:51:12
439,matara,5.9485,80.5353,73.53,88,100,4.88,LK,2023-02-01 00:50:02
440,vanavara,60.34,102.2797,-6.74,99,100,2.75,RU,2023-02-01 00:51:12
441,villazon,-22.0866,-65.5942,53.76,65,75,10.13,BO,2023-02-01 00:51:13
442,seoul,37.5683,126.9778,35.2,94,100,5.75,KR,2023-02-01 00:50:08
443,sorland,67.667,12.6934,35.46,62,13,8.3,NO,2023-02-01 00:51:13
444,dourbali,11.8091,15.8632,75.42,18,100,10.51,TD,2023-02-01 00:51:14
445,punta alta,-38.8759,-62.0736,66.85,83,100,14.29,AR,2023-02-01 00:51:14
446,barentu,15.1139,37.5928,68.67,40,70,3.31,ER,2023-02-01 00:51:15
447,kutum,14.2,24.6667,65.52,16,15,7.14,SD,2023-02-01 00:51:15
448,sandovo,58.4602,36.4128,27.48,92,100,8.43,RU,2023-02-01 00:51:15
449,zhigansk,66.7697,123.3711,-20.96,99,100,2.08,RU,2023-02-01 00:51:16
450,pramanta,39.5231,21.1014,33.58,63,0,4.83,GR,2023-02-01 00:51:16
451,sakaiminato,35.55,133.2333,44.58,65,75,6.91,JP,2023-02-01 00:51:17
452,dalvik,65.9702,-18.5286,28.33,95,100,13.2,IS,2023-02-01 00:51:17
453,chulumani,-16.4096,-67.5263,63.63,98,85,1.21,BO,2023-02-01 00:51:17
454,columbus,39.9612,-82.9988,23.88,69,75,8.05,US,2023-02-01 00:47:56
455,nemuro,43.3236,145.575,25.57,58,54,8.01,JP,2023-02-01 00:51:18
456,sao filipe,14.8961,-24.4956,70.92,72,100,10.4,CV,2023-02-01 00:51:18
457,lata,40.1629,-8.3327,36.07,79,0,3.29,PT,2023-02-01 00:51:19
458,kholtoson,50.2981,103.3097,-8.81,94,100,3.56,RU,2023-02-01 00:51:19
459,berdigestyakh,62.0989,126.6992,-28.1,97,100,7.43,RU,2023-02-01 00:51:19
460,vallenar,-28.5708,-70.7581,70.21,57,7,3.11,CL,2023-02-01 00:46:48
461,vikesa,58.6376,6.0913,38.88,87,100,20.29,NO,2023-02-01 00:51:20
462,shingu,33.7333,135.9833,51.73,55,99,4.72,JP,2023-02-01 00:51:20
463,yatou,37.15,122.3833,32.74,59,100,22.95,CN,2023-02-01 00:51:21
464,nioro,13.35,-15.75,73.13,18,8,9.01,GM,2023-02-01 00:51:21
465,laguna,38.421,-121.4238,55.38,34,0,5.75,US,2023-02-01 00:47:26
466,ahipara,-35.1667,173.1667,74.19,74,100,8.37,NZ,2023-02-01 00:51:22
467,san rafael,-34.6177,-68.3301,72.23,55,14,17.56,AR,2023-02-01 00:50:19
468,riachao,-7.3619,-46.6172,77.54,67,64,3.51,BR,2023-02-01 00:51:23
469,eldorado,-23.7869,-54.2836,70.21,96,88,3.02,BR,2023-02-01 00:51:23
470,blagoyevo,63.3667,47.9167,27.97,90,99,13.76,RU,2023-02-01 00:51:23
471,kisangani,0.5167,25.2,71.31,76,61,1.57,CD,2023-02-01 00:51:24
472,honjo,36.2333,139.1833,38.68,35,0,1.05,JP,2023-02-01 00:51:24
473,klaksvik,62.2266,-6.589,42.03,81,100,29.17,FO,2023-02-01 00:51:25
474,arlit,18.7369,7.3853,62.24,19,16,7.47,NE,2023-02-01 00:51:25
475,vao,-22.6667,167.4833,78.93,75,77,8.97,NC,2023-02-01 00:51:25
476,paraopeba,-19.2757,-44.4033,68.86,80,36,3.96,BR,2023-02-01 00:51:26
477,yar-sale,66.8333,70.8333,12.85,94,100,16.6,RU,2023-02-01 00:51:26
478,sargatskoye,55.6101,73.4972,-0.96,97,68,6.2,RU,2023-02-01 00:51:27
479,zhuanghe,39.7008,122.9911,25.72,38,0,15.75,CN,2023-02-01 00:51:27
480,severo-kurilsk,50.6789,156.125,25.27,54,46,4.68,RU,2023-02-01 00:51:28
481,birao,10.2849,22.7882,73.4,15,8,5.97,CF,2023-02-01 00:51:28
482,mantua,45.1667,10.7833,36.09,88,1,4.61,IT,2023-02-01 00:51:28
483,shenjiamen,29.9576,122.298,52.93,73,0,10.54,CN,2023-02-01 00:51:29
484,shancheng,34.7953,116.0817,39.63,29,78,18.03,CN,2023-02-01 00:51:29
485,soe,-9.8607,124.284,77.61,69,77,1.79,ID,2023-02-01 00:51:30
486,tambura,5.6,27.4667,75.6,34,52,3.31,SS,2023-02-01 00:51:30
487,pajapan,18.25,-94.7,70.16,92,8,5.91,MX,2023-02-01 00:50:01
488,nhulunbuy,-12.2333,136.7667,88.41,70,40,10.36,AU,2023-02-01 00:51:31
489,meadow lake,34.8014,-106.5436,47.79,32,27,5.3,US,2023-02-01 00:51:31
490,parrita,9.5201,-84.3225,77.65,81,69,3.2,CR,2023-02-01 00:51:31
491,kaspiyskiy,45.3929,47.3707,27.66,80,22,6.51,RU,2023-02-01 00:51:32
492,tacna,-18.0056,-70.2483,68.2,83,75,3.44,PE,2023-02-01 00:51:32
493,kirakira,-10.4544,161.9205,83.12,78,100,7.29,SB,2023-02-01 00:51:33
494,tarko-sale,64.9225,77.785,4.42,94,100,15.08,RU,2023-02-01 00:51:33
495,rapu-rapu,13.1866,124.1256,79.41,83,3,15.95,PH,2023-02-01 00:51:34
496,plymouth,41.8334,-70.8328,30.7,67,0,8.05,US,2023-02-01 00:49:08
497,penzance,50.1186,-5.5371,47.08,71,34,18.61,GB,2023-02-01 00:51:34
498,shiraz,29.6036,52.5388,36.84,93,100,11.5,IR,2023-02-01 00:51:34
499,dharchula,29.85,80.5333,44.26,33,0,10.54,IN,2023-02-01 00:51:35
500,challans,46.8436,-1.8749,44.96,94,100,5.84,FR,2023-02-01 00:51:35
501,san quintin,30.4833,-115.95,56.07,60,24,5.68,MX,2023-02-01 00:51:36
502,kyabe,9.4515,18.9449,82.09,16,5,1.28,TD,2023-02-01 00:51:36
503,ayr,55.4627,-4.6339,44.58,81,40,26.46,GB,2023-02-01 00:51:36
504,mutsu,41.2894,141.2169,31.68,85,98,4.41,JP,2023-02-01 00:51:37
505,yaan,7.3833,8.5667,83.68,40,18,3.04,NG,2023-02-01 00:51:37
506,kourou,5.1552,-52.6478,75.25,91,100,4.0,GF,2023-02-01 00:51:38
507,necochea,-38.5473,-58.7368,65.14,83,100,10.29,AR,2023-02-01 00:51:38
508,novyye burasy,52.1324,46.0714,17.01,95,100,5.1,RU,2023-02-01 00:51:38
509,hammerfest,70.6634,23.6821,30.65,86,20,14.97,NO,2023-02-01 00:51:39
510,dano,11.15,-3.0667,76.28,11,72,6.51,BF,2023-02-01 00:51:39
511,svetlogorsk,52.6333,29.7333,29.44,95,100,7.81,BY,2023-02-01 00:51:40
512,pilar,-9.5972,-35.9567,71.53,85,88,3.83,BR,2023-02-01 00:47:36
513,comodoro rivadavia,-45.8667,-67.5,67.86,45,0,25.32,AR,2023-02-01 00:51:40
514,salalah,17.0151,54.0924,69.89,64,40,4.61,OM,2023-02-01 00:51:40
515,dandong,40.1292,124.3947,23.88,55,0,16.02,CN,2023-02-01 00:51:41
516,arys,42.4252,68.795,34.59,81,100,8.79,KZ,2023-02-01 00:51:41
517,siauliai,55.9333,23.3167,32.02,93,100,12.66,LT,2023-02-01 00:51:42
518,westfield,42.1251,-72.7495,29.84,59,20,8.05,US,2023-02-01 00:48:50
519,taoudenni,22.6783,-3.9836,57.6,20,100,12.62,ML,2023-02-01 00:51:42
520,sainte-maxime,43.3,6.6333,45.19,63,45,3.98,FR,2023-02-01 00:51:42
521,nyurba,63.2842,118.3319,-35.82,99,89,5.53,RU,2023-02-01 00:51:43
522,royan,45.6285,-1.0281,39.78,86,64,4.7,FR,2023-02-01 00:51:43
523,kropotkin,45.4375,40.5756,37.06,93,100,6.02,RU,2023-02-01 00:51:44
524,madina,5.6823,-0.1641,80.56,89,20,5.75,GH,2023-02-01 00:51:44
525,bambanglipuro,-7.95,110.2833,80.24,81,99,2.42,ID,2023-02-01 00:47:42
526,qeshm,26.9581,56.2719,62.49,75,0,16.89,IR,2023-02-01 00:51:45
527,odweyne,9.4092,45.064,59.59,59,7,2.1,SO,2023-02-01 00:51:45
528,lumut,4.2323,100.6298,77.02,88,20,2.3,MY,2023-02-01 00:51:45
529,okhotsk,59.3833,143.3,0.0,95,100,12.59,RU,2023-02-01 00:51:46
530,kimbe,-5.5502,150.1429,81.01,84,96,4.36,PG,2023-02-01 00:51:46
531,kyshtovka,56.555,76.6271,-6.84,99,23,5.19,RU,2023-02-01 00:51:47
532,hambantota,6.1241,81.1185,75.54,100,20,3.44,LK,2023-02-01 00:51:47
533,noumea,-22.2763,166.4572,89.58,65,40,7.74,NC,2023-02-01 00:51:47
534,eirunepe,-6.6603,-69.8736,73.08,98,100,2.57,BR,2023-02-01 00:51:48
535,mount isa,-20.7333,139.5,82.17,61,100,1.14,AU,2023-02-01 00:51:48
536,okha,53.5739,142.9478,-10.07,90,16,9.89,RU,2023-02-01 00:51:49
537,pinos,22.3,-101.5667,58.24,42,41,4.68,MX,2023-02-01 00:51:49
538,coxim,-18.5067,-54.76,76.6,83,97,2.26,BR,2023-02-01 00:51:49
539,mezinovskiy,55.5042,40.3593,25.79,93,100,8.88,RU,2023-02-01 00:51:50
540,bubaque,11.2833,-15.8333,77.45,66,5,13.98,GW,2023-02-01 00:51:50
541,synya,65.3718,58.0387,24.35,92,100,12.71,RU,2023-02-01 00:51:50
542,camacha,33.0833,-16.3333,56.62,67,20,12.66,PT,2023-02-01 00:51:51
543,talnakh,69.4865,88.3972,1.29,96,100,10.11,RU,2023-02-01 00:51:51
544,the valley,18.217,-63.0578,77.09,67,0,18.88,AI,2023-02-01 00:50:12
545,novoagansk,61.9449,76.6625,3.6,97,100,8.08,RU,2023-02-01 00:51:52
546,talara,-4.5772,-81.2719,81.36,69,0,5.75,PE,2023-02-01 00:51:52
547,kawalu,-7.3817,108.2082,76.71,82,99,1.19,ID,2023-02-01 00:51:53
548,chany,55.3121,76.7647,-11.42,97,22,3.42,RU,2023-02-01 00:51:53
549,zaria,11.1113,7.7227,71.35,19,99,8.59,NG,2023-02-01 00:51:53
550,imuris,30.7833,-110.8667,52.79,60,99,5.17,MX,2023-02-01 00:51:54
551,kloulklubed,7.0419,134.2556,81.1,80,100,20.89,PW,2023-02-01 00:51:54
552,faya,18.3851,42.4509,50.11,60,91,3.83,SA,2023-02-01 00:51:54
553,dongning,44.0622,131.1207,14.88,83,100,3.13,CN,2023-02-01 00:51:55
554,ewa beach,21.3156,-158.0072,82.35,65,0,9.22,US,2023-02-01 00:51:55
555,lardos,36.0942,28.0157,49.82,53,100,11.5,GR,2023-02-01 00:51:56
556,tocopilla,-22.092,-70.1979,72.27,78,100,1.57,CL,2023-02-01 00:48:26
557,san patricio,28.017,-97.5169,39.07,81,100,14.7,US,2023-02-01 00:51:56
558,lasa,46.6166,10.7002,29.03,89,28,6.78,IT,2023-02-01 00:51:57
559,moranbah,-22.0016,148.0466,86.7,62,100,16.75,AU,2023-02-01 00:51:57
560,skibbereen,51.55,-9.2667,49.1,76,100,16.22,IE,2023-02-01 00:51:57
561,husavik,66.0449,-17.3389,28.83,95,100,16.84,IS,2023-02-01 00:51:58
562,fukue,32.6881,128.8419,57.56,77,75,3.44,JP,2023-02-01 00:51:58
